type	time	latitude	longitude	altitude (m)	name	desc
T	2024-10-18 19:42:30	41.648253000	-70.490487000	27.8	Afternoon Run	
T	2024-10-18 19:42:31	41.648253000	-70.490487000	27.8		
T	2024-10-18 19:42:32	41.648277000	-70.490507000	27.7		
T	2024-10-18 19:42:33	41.648304000	-70.490485000	27.7		
T	2024-10-18 19:42:34	41.648333000	-70.490477000	27.6		
T	2024-10-18 19:42:35	41.648342000	-70.490479000	27.6		
T	2024-10-18 19:42:36	41.648374000	-70.490479000	27.6		
T	2024-10-18 19:42:37	41.648409000	-70.490492000	27.5		
T	2024-10-18 19:42:38	41.648418000	-70.490498000	27.5		
T	2024-10-18 19:42:39	41.648456000	-70.490518000	27.4		
T	2024-10-18 19:42:40	41.648469000	-70.490527000	27.4		
T	2024-10-18 19:42:41	41.648509000	-70.490552000	27.3		
T	2024-10-18 19:42:42	41.648538000	-70.490569000	27.2		
T	2024-10-18 19:42:43	41.648565000	-70.490593000	27.1		
T	2024-10-18 19:42:44	41.648591000	-70.490616000	27.1		
T	2024-10-18 19:42:45	41.648620000	-70.490645000	26.9		
T	2024-10-18 19:42:46	41.648641000	-70.490674000	26.8		
T	2024-10-18 19:42:47	41.648668000	-70.490703000	26.7		
T	2024-10-18 19:42:48	41.648691000	-70.490735000	26.6		
T	2024-10-18 19:42:49	41.648713000	-70.490766000	26.4		
T	2024-10-18 19:42:50	41.648733000	-70.490797000	26.3		
T	2024-10-18 19:42:51	41.648758000	-70.490832000	26.2		
T	2024-10-18 19:42:52	41.648766000	-70.490844000	26.1		
T	2024-10-18 19:42:53	41.648792000	-70.490880000	26.0		
T	2024-10-18 19:42:54	41.648804000	-70.490892000	25.9		
T	2024-10-18 19:42:55	41.648836000	-70.490912000	25.8		
T	2024-10-18 19:42:56	41.648863000	-70.490921000	25.7		
T	2024-10-18 19:42:57	41.648888000	-70.490934000	25.6		
T	2024-10-18 19:42:58	41.648932000	-70.490946000	25.4		
T	2024-10-18 19:42:59	41.648960000	-70.490959000	25.3		
T	2024-10-18 19:43:00	41.648993000	-70.490957000	25.2		
T	2024-10-18 19:43:01	41.649007000	-70.490950000	25.2		
T	2024-10-18 19:43:02	41.649034000	-70.490962000	25.1		
T	2024-10-18 19:43:03	41.649066000	-70.490971000	25.0		
T	2024-10-18 19:43:04	41.649075000	-70.490976000	25.0		
T	2024-10-18 19:43:05	41.649104000	-70.490985000	25.0		
T	2024-10-18 19:43:06	41.649153000	-70.491000000	24.9		
T	2024-10-18 19:43:07	41.649182000	-70.491008000	24.8		
T	2024-10-18 19:43:08	41.649211000	-70.491018000	24.8		
T	2024-10-18 19:43:09	41.649252000	-70.491020000	24.8		
T	2024-10-18 19:43:10	41.649268000	-70.491025000	24.8		
T	2024-10-18 19:43:11	41.649306000	-70.491015000	24.9		
T	2024-10-18 19:43:12	41.649320000	-70.491012000	24.9		
T	2024-10-18 19:43:13	41.649347000	-70.491014000	24.9		
T	2024-10-18 19:43:14	41.649370000	-70.491005000	24.9		
T	2024-10-18 19:43:15	41.649384000	-70.490998000	25.0		
T	2024-10-18 19:43:16	41.649423000	-70.490985000	25.1		
T	2024-10-18 19:43:17	41.649438000	-70.490982000	25.1		
T	2024-10-18 19:43:18	41.649469000	-70.490976000	25.2		
T	2024-10-18 19:43:19	41.649506000	-70.490951000	25.4		
T	2024-10-18 19:43:20	41.649521000	-70.490943000	25.5		
